station_id,station_name,lat,lon,altitude_m,source,meta_source,note
90,속초,,,,"asos_daily,asos_hourly",manual_or_kma_station_page,
93,북춘천,,,,"asos_daily,asos_hourly",manual_or_kma_station_page,
95,철원,,,,"asos_daily,asos_hourly",manual_or_kma_station_page,
100,대관령,,,,"asos_daily,asos_hourly",manual_or_kma_station_page,
101,춘천,,,,"asos_daily,asos_hourly",manual_or_kma_station_page,
104,북강릉,,,,"asos_daily,asos_hourly",manual_or_kma_station_page,
105,강릉,,,,"asos_daily,asos_hourly",manual_or_kma_station_page,
106,동해,,,,"asos_daily,asos_hourly",manual_or_kma_station_page,
114,원주,,,,"asos_daily,asos_hourly",manual_or_kma_station_page,
121,영월,,,,"asos_daily,asos_hourly",manual_or_kma_station_page,
211,인제,,,,"asos_daily,asos_hourly",manual_or_kma_station_page,
212,홍천,,,,"asos_daily,asos_hourly",manual_or_kma_station_page,
216,태백,,,,"asos_daily,asos_hourly",manual_or_kma_station_page,
217,정선군,,,,"asos_daily,asos_hourly",manual_or_kma_station_page,
310,궁촌,,,,aws_hourly,manual_or_kma_station_page,
318,평창용산,,,,aws_hourly,manual_or_kma_station_page,
320,향로봉,,,,aws_hourly,manual_or_kma_station_page,
321,원통,,,,aws_hourly,manual_or_kma_station_page,
322,상서,,,,aws_hourly,manual_or_kma_station_page,
323,마현,,,,aws_hourly,manual_or_kma_station_page,
332,등봉,,,,aws_hourly,manual_or_kma_station_page,
333,동해심곡,,,,aws_hourly,manual_or_kma_station_page,
334,중앙,,,,aws_hourly,manual_or_kma_station_page,
335,강림,,,,aws_hourly,manual_or_kma_station_page,
336,매일,,,,aws_hourly,manual_or_kma_station_page,
337,우항,,,,aws_hourly,manual_or_kma_station_page,
338,둔내,,,,aws_hourly,manual_or_kma_station_page,
339,서원,,,,aws_hourly,manual_or_kma_station_page,
340,공근,,,,aws_hourly,manual_or_kma_station_page,
345,학성,,,,aws_hourly,manual_or_kma_station_page,
346,강릉구정,,,,aws_hourly,manual_or_kma_station_page,
347,귀래,,,,aws_hourly,manual_or_kma_station_page,
348,하조대,,,,aws_hourly,manual_or_kma_station_page,
349,시동,,,,aws_hourly,manual_or_kma_station_page,
350,조침령,,,,aws_hourly,manual_or_kma_station_page,
497,삽당령,,,,aws_hourly,manual_or_kma_station_page,
498,구룡령,,,,aws_hourly,manual_or_kma_station_page,
517,간성,,,,aws_hourly,manual_or_kma_station_page,
518,해안,,,,aws_hourly,manual_or_kma_station_page,
519,사내,,,,aws_hourly,manual_or_kma_station_page,
520,설악동,,,,aws_hourly,manual_or_kma_station_page,
522,화촌,,,,aws_hourly,manual_or_kma_station_page,
523,주문진,,,,aws_hourly,manual_or_kma_station_page,
524,경포,,,,aws_hourly,manual_or_kma_station_page,
525,봉평,,,,aws_hourly,manual_or_kma_station_page,
526,평창,,,,aws_hourly,manual_or_kma_station_page,
527,신동,,,,aws_hourly,manual_or_kma_station_page,
529,원덕,,,,aws_hourly,manual_or_kma_station_page,
535,서석,,,,aws_hourly,manual_or_kma_station_page,
536,횡성,,,,aws_hourly,manual_or_kma_station_page,
537,임계,,,,aws_hourly,manual_or_kma_station_page,
